iteration,Method,MSE,RMSE,MAE
0,Mean,,,
0,Median,,,
0,KNN (k=5),,,
0,KNN (k=10),,,
0,MissForest,,,
0,MICE,,,
1,Mean,,,
1,Median,,,
1,KNN (k=5),,,
1,KNN (k=10),,,
1,MissForest,,,
1,MICE,,,
2,Mean,,,
2,Median,,,
2,KNN (k=5),,,
2,KNN (k=10),,,
2,MissForest,,,
2,MICE,,,
3,Mean,,,
3,Median,,,
3,KNN (k=5),,,
3,KNN (k=10),,,
3,MissForest,,,
3,MICE,,,
4,Mean,,,
4,Median,,,
4,KNN (k=5),,,
4,KNN (k=10),,,
4,MissForest,,,
4,MICE,,,
5,Mean,,,
5,Median,,,
5,KNN (k=5),,,
5,KNN (k=10),,,
5,MissForest,,,
5,MICE,,,
6,Mean,,,
6,Median,,,
6,KNN (k=5),,,
6,KNN (k=10),,,
6,MissForest,,,
6,MICE,,,
7,Mean,,,
7,Median,,,
7,KNN (k=5),,,
7,KNN (k=10),,,
7,MissForest,,,
7,MICE,,,
8,Mean,,,
8,Median,,,
8,KNN (k=5),,,
8,KNN (k=10),,,
8,MissForest,,,
8,MICE,,,
9,Mean,,,
9,Median,,,
9,KNN (k=5),,,
9,KNN (k=10),,,
9,MissForest,,,
9,MICE,,,
