iteration,Method,Classifier,Metric,Mean
0,No Handling,LogisticRegression,accuracy,0.5741758241758241
0,No Handling,LogisticRegression,f1,0.5462754393042855
0,No Handling,RandomForest,accuracy,0.5370879120879121
0,No Handling,RandomForest,f1,0.5020459241613088
0,No Handling,XGBoost,accuracy,0.6483516483516483
0,No Handling,XGBoost,f1,0.6113428238428238
0,XGBoost Native,XGBoost,accuracy,0.5678616465501711
0,XGBoost Native,XGBoost,f1,0.5511135257942987
0,Mean,LogisticRegression,accuracy,0.5569146700294242
0,Mean,LogisticRegression,f1,0.5354716713217946
0,Mean,RandomForest,accuracy,0.5733261274244881
0,Mean,RandomForest,f1,0.5510015941885721
0,Mean,XGBoost,accuracy,0.5667387257551193
0,Mean,XGBoost,f1,0.5498694776452234
0,Median,LogisticRegression,accuracy,0.5623971656758543
0,Median,LogisticRegression,f1,0.5390668655306218
0,Median,RandomForest,accuracy,0.5656818591244821
0,Median,RandomForest,f1,0.5407019496865936
0,Median,XGBoost,accuracy,0.5590944574551132
0,Median,XGBoost,f1,0.5427697898457436
0,KNN (k=5),LogisticRegression,accuracy,0.6378850657539182
0,KNN (k=5),LogisticRegression,f1,0.6175091156758168
0,KNN (k=5),RandomForest,accuracy,0.6783702636161653
0,KNN (k=5),RandomForest,f1,0.6589343872648461
0,KNN (k=5),XGBoost,accuracy,0.6652194799735783
0,KNN (k=5),XGBoost,f1,0.6515624234934039
0,KNN (k=10),LogisticRegression,accuracy,0.618194919834264
0,KNN (k=10),LogisticRegression,f1,0.5969221532732851
0,KNN (k=10),RandomForest,accuracy,0.6750435356992733
0,KNN (k=10),RandomForest,f1,0.6538234885733858
0,KNN (k=10),XGBoost,accuracy,0.6443944034107969
0,KNN (k=10),XGBoost,f1,0.6286532256629238
0,MissForest,LogisticRegression,accuracy,
0,MissForest,LogisticRegression,f1,
0,MissForest,RandomForest,accuracy,
0,MissForest,RandomForest,f1,
0,MissForest,XGBoost,accuracy,
0,MissForest,XGBoost,f1,
0,MICE,LogisticRegression,accuracy,0.5919473968654296
0,MICE,LogisticRegression,f1,0.5731691519290012
0,MICE,RandomForest,accuracy,0.5853419804239477
0,MICE,RandomForest,f1,0.5628850241511167
0,MICE,XGBoost,accuracy,0.5798835044736684
0,MICE,XGBoost,f1,0.5645417375885182
1,No Handling,LogisticRegression,accuracy,0.6904761904761906
1,No Handling,LogisticRegression,f1,0.683871683871684
1,No Handling,RandomForest,accuracy,0.6904761904761904
1,No Handling,RandomForest,f1,0.6612970362970363
1,No Handling,XGBoost,accuracy,0.5
1,No Handling,XGBoost,f1,0.46328420256991687
1,XGBoost Native,XGBoost,accuracy,0.5437758962349127
1,XGBoost Native,XGBoost,f1,0.5257191998023869
1,Mean,LogisticRegression,accuracy,0.5591545066954903
1,Mean,LogisticRegression,f1,0.5373607638746238
1,Mean,RandomForest,accuracy,0.554692848135471
1,Mean,RandomForest,f1,0.5290218851406326
1,Mean,XGBoost,accuracy,0.532840929562241
1,Mean,XGBoost,f1,0.5156656190347148
1,Median,LogisticRegression,accuracy,0.5689785624211854
1,Median,LogisticRegression,f1,0.5457574775325862
1,Median,RandomForest,accuracy,0.5711343301507236
1,Median,RandomForest,f1,0.5474707387189874
1,Median,XGBoost,accuracy,0.5251606317180088
1,Median,XGBoost,f1,0.5103315373202684
1,KNN (k=5),LogisticRegression,accuracy,0.6422866750735604
1,KNN (k=5),LogisticRegression,f1,0.6242091258569912
1,KNN (k=5),RandomForest,accuracy,0.6674232870954182
1,KNN (k=5),RandomForest,f1,0.6475928821298286
1,KNN (k=5),XGBoost,accuracy,0.6433255269320843
1,KNN (k=5),XGBoost,f1,0.6293722413238402
1,KNN (k=10),LogisticRegression,accuracy,0.6302828319221762
1,KNN (k=10),LogisticRegression,f1,0.6121825446651208
1,KNN (k=10),RandomForest,accuracy,0.6674232870954183
1,KNN (k=10),RandomForest,f1,0.6472273026350404
1,KNN (k=10),XGBoost,accuracy,0.6499129286014531
1,KNN (k=10),XGBoost,f1,0.6354163005234865
1,MissForest,LogisticRegression,accuracy,0.6072659580856302
1,MissForest,LogisticRegression,f1,0.5878408009716537
1,MissForest,RandomForest,accuracy,0.6193058307812406
1,MissForest,RandomForest,f1,0.5988938420143286
1,MissForest,XGBoost,accuracy,0.6214916231309673
1,MissForest,XGBoost,f1,0.6081315786779588
1,MICE,LogisticRegression,accuracy,0.6050981805080166
1,MICE,LogisticRegression,f1,0.5844999427023129
1,MICE,RandomForest,accuracy,0.5854020296643248
1,MICE,RandomForest,f1,0.5642072306304554
1,MICE,XGBoost,accuracy,0.574431033447427
1,MICE,XGBoost,f1,0.5616259329086803
2,No Handling,LogisticRegression,accuracy,0.4791666666666667
2,No Handling,LogisticRegression,f1,0.46185989935989935
2,No Handling,RandomForest,accuracy,0.5416666666666667
2,No Handling,RandomForest,f1,0.5129430754430754
2,No Handling,XGBoost,accuracy,
2,No Handling,XGBoost,f1,
2,XGBoost Native,XGBoost,accuracy,0.574431033447427
2,XGBoost Native,XGBoost,f1,0.5590865853469644
2,Mean,LogisticRegression,accuracy,0.5810424548129466
2,Mean,LogisticRegression,f1,0.5609454984286631
2,Mean,RandomForest,accuracy,0.5744190235993515
2,Mean,RandomForest,f1,0.5531117111995828
2,Mean,XGBoost,accuracy,0.5525070557857442
2,Mean,XGBoost,f1,0.5379789659328285
2,Median,LogisticRegression,accuracy,0.5788386476911067
2,Median,LogisticRegression,f1,0.558400366756656
2,Median,RandomForest,accuracy,0.5831501831501831
2,Median,RandomForest,f1,0.5604133212470466
2,Median,XGBoost,accuracy,0.5470545847595026
2,Median,XGBoost,f1,0.5320301362099471
2,KNN (k=5),LogisticRegression,accuracy,0.6521107307992553
2,KNN (k=5),LogisticRegression,f1,0.6351910592934988
2,KNN (k=5),RandomForest,accuracy,0.6849276406653456
2,KNN (k=5),RandomForest,f1,0.6642834315383407
2,KNN (k=5),XGBoost,accuracy,0.6761664564943255
2,KNN (k=5),XGBoost,f1,0.6620746668571729
2,KNN (k=10),LogisticRegression,accuracy,0.6444364378790608
2,KNN (k=10),LogisticRegression,f1,0.6260773283105362
2,KNN (k=10),RandomForest,accuracy,0.6914790127904882
2,KNN (k=10),RandomForest,f1,0.6713817045124937
2,KNN (k=10),XGBoost,accuracy,0.669609079445145
2,KNN (k=10),XGBoost,f1,0.6554404704164876
2,MissForest,LogisticRegression,accuracy,0.6149102263856363
2,MissForest,LogisticRegression,f1,0.5968042614911353
2,MissForest,RandomForest,accuracy,0.6225424848375668
2,MissForest,RandomForest,f1,0.606842036567935
2,MissForest,XGBoost,accuracy,0.6334894613583139
2,MissForest,XGBoost,f1,0.6184796119801204
2,MICE,LogisticRegression,accuracy,0.5886326787966133
2,MICE,LogisticRegression,f1,0.5700917000903994
