Method,Classifier,Metric,Mean,Std
KNN (k=10),LogisticRegression,accuracy,0.6285,0.0082
KNN (k=10),LogisticRegression,f1,0.6094,0.0087
KNN (k=10),RandomForest,accuracy,0.67,0.0102
KNN (k=10),RandomForest,f1,0.6491,0.0102
KNN (k=10),XGBoost,accuracy,0.6515,0.0095
KNN (k=10),XGBoost,f1,0.6364,0.0097
KNN (k=5),LogisticRegression,accuracy,0.6389,0.0098
KNN (k=5),LogisticRegression,f1,0.6207,0.0099
KNN (k=5),RandomForest,accuracy,0.6681,0.0127
KNN (k=5),RandomForest,f1,0.6481,0.0126
KNN (k=5),XGBoost,accuracy,0.6527,0.0172
KNN (k=5),XGBoost,f1,0.638,0.0167
MICE,LogisticRegression,accuracy,0.5942,0.0061
MICE,LogisticRegression,f1,0.5747,0.006
MICE,RandomForest,accuracy,0.5983,0.0149
MICE,RandomForest,f1,0.5753,0.0144
MICE,XGBoost,accuracy,0.574,0.0133
MICE,XGBoost,f1,0.5576,0.0126
Mean,LogisticRegression,accuracy,0.5656,0.0094
Mean,LogisticRegression,f1,0.5451,0.01
Mean,RandomForest,accuracy,0.5739,0.0196
Mean,RandomForest,f1,0.5503,0.0194
Mean,XGBoost,accuracy,0.5561,0.0168
Mean,XGBoost,f1,0.5413,0.0171
Median,LogisticRegression,accuracy,0.5679,0.0113
Median,LogisticRegression,f1,0.5462,0.0118
Median,RandomForest,accuracy,0.5775,0.0114
Median,RandomForest,f1,0.554,0.013
Median,XGBoost,accuracy,0.5516,0.0156
Median,XGBoost,f1,0.5369,0.0154
MissForest,LogisticRegression,accuracy,0.6079,0.0092
MissForest,LogisticRegression,f1,0.5891,0.0098
MissForest,RandomForest,accuracy,0.634,0.009
MissForest,RandomForest,f1,0.6143,0.0083
MissForest,XGBoost,accuracy,0.6268,0.0085
MissForest,XGBoost,f1,0.6137,0.0091
No Handling,LogisticRegression,accuracy,0.527,0.0799
No Handling,LogisticRegression,f1,0.4995,0.0914
No Handling,RandomForest,accuracy,0.5439,0.0766
No Handling,RandomForest,f1,0.5097,0.0794
No Handling,XGBoost,accuracy,0.5528,0.0619
No Handling,XGBoost,f1,0.5248,0.0635
XGBoost Native,XGBoost,accuracy,0.5632,0.0134
XGBoost Native,XGBoost,f1,0.5474,0.0134
